noise_sigma,group,samples,adaptive_h,dice_mean,dice_std,iou_mean,iou_std,precision_mean,precision_std,recall_mean,recall_std,hausdorff_distance_mean,hausdorff_distance_std,hausdorff_95_mean,hausdorff_95_std,psnr_mean,psnr_std,ssim_mean,ssim_std
5,no_enhancement,20,,0.6367030606133117,0.09709371057346369,0.4738399508436387,0.10079251029941001,0.6177496545558961,0.17379735671249535,0.7072966056724863,0.0753115022270973,51.00479762210669,14.275876580255016,16.274152534799036,3.987685599125624,34.14791480151739,0.011221171795342716,0.7850089775055185,0.008158373678927328
5,fixed_enhancement,20,,0.4577850497499057,0.07211784900756542,0.2995240211322994,0.060591746015451024,0.5073133311018393,0.18476369120575611,0.47577024660416545,0.09832601857448091,65.66506725776617,28.29913411420449,30.233894315306554,14.674776691352506,27.191844507753395,1.1854782683328124,0.8258926238839205,0.011484929532942754
5,adaptive_enhancement,20,0.0,0.643525668691449,0.09173931776972252,0.4805402322619792,0.09560159122957038,0.6254424542391701,0.16368972787421143,0.7075621789470825,0.07606774992816598,50.88438199855061,14.408684100243484,16.068268581992513,4.073707753574755,33.19244429043456,2.942728737048113,0.7675479178143925,0.056204364650110125
15,no_enhancement,20,,0.3807833777586994,0.04855075089076315,0.23622523978185983,0.03723623036399888,0.25682201527599663,0.04661589741089428,0.7624995151774114,0.04537339528133517,44.527266265926194,8.339667977949263,17.82164483340184,2.3144796919170054,24.627183288271844,0.016586011308085905,0.3236069305713334,0.014261568523695424
15,fixed_enhancement,20,,0.4966393417611072,0.07318464732778784,0.33334008324442027,0.06468663711766563,0.6447491263378486,0.174738942857845,0.4402914271441004,0.09073716462714569,84.73533258314524,29.19937656190565,40.170347981532046,15.039521833024818,24.64379031691585,1.4362047770275899,0.7878725586205075,0.016633658150882694
15,adaptive_enhancement,20,5.0,0.4818091211766383,0.08325069771226717,0.321168336897398,0.0733038487572767,0.4396450975604342,0.19178530894429144,0.640599402784219,0.1127173271583583,51.20028114486901,14.474340660790112,21.698140429820803,7.063669183649461,30.335778257595564,2.5351957825309785,0.6512858239254101,0.144256233111088
30,no_enhancement,20,,0.3021559734971343,0.025112626319343977,0.17821080464255729,0.017532865569777054,0.18997816037008197,0.019821406048656898,0.7447092988307995,0.026610682453974282,44.99286598272326,7.735224329799315,18.363896820171526,2.228356386996347,18.645813468179092,0.0608800779406596,0.12768787753822297,0.00908869863059321
30,fixed_enhancement,20,,0.37394398883861857,0.05785402129354448,0.23149260244445222,0.045114937105309866,0.26990509169916904,0.06789316970638802,0.6520358767821146,0.07027002456572069,44.943595496076085,7.364439728222354,17.858160603809807,2.4891553943869087,17.04083943538891,2.865841896530216,0.19424925217847325,0.08525209283326908
30,adaptive_enhancement,20,12.0,0.33228866238257665,0.04152521629089492,0.19995508784569316,0.029887670056051526,0.23036123907078737,0.052775389023284075,0.6513565942688172,0.09007498157326929,45.66674554431823,9.310342375438475,18.965131746574933,2.4865486194523965,29.050658487682586,2.1345066797996215,0.6441868620319106,0.13321970014905396
