robustness_case,severity_label,severity_order,baseline,samples,adaptive_dice,baseline_dice,delta_dice,delta_dice_ci_low,delta_dice_ci_high,delta_dice_wilcoxon_p,adaptive_iou,baseline_iou,delta_iou,delta_iou_ci_low,delta_iou_ci_high,delta_iou_wilcoxon_p,adaptive_precision,baseline_precision,delta_precision,delta_precision_ci_low,delta_precision_ci_high,delta_precision_wilcoxon_p,adaptive_recall,baseline_recall,delta_recall,delta_recall_ci_low,delta_recall_ci_high,delta_recall_wilcoxon_p,adaptive_hausdorff_distance,baseline_hausdorff_distance,delta_hausdorff_distance,delta_hausdorff_distance_ci_low,delta_hausdorff_distance_ci_high,delta_hausdorff_distance_wilcoxon_p,adaptive_hausdorff_95,baseline_hausdorff_95,delta_hausdorff_95,delta_hausdorff_95_ci_low,delta_hausdorff_95_ci_high,delta_hausdorff_95_wilcoxon_p,adaptive_psnr,baseline_psnr,delta_psnr,delta_psnr_ci_low,delta_psnr_ci_high,delta_psnr_wilcoxon_p,adaptive_ssim,baseline_ssim,delta_ssim,delta_ssim_ci_low,delta_ssim_ci_high,delta_ssim_wilcoxon_p
mixed,medium_two_component,1,no_enhancement,60,0.5678270717309981,0.4350215306042852,0.13280554112671292,0.11183432915871792,0.15328440367476343,6.588314111064e-11,0.4065090054234196,0.28416407339764527,0.12234493202577429,0.1020236995891289,0.14217900266526873,6.920030316998981e-11,0.5807006089105526,0.3152835796720636,0.2654170292384889,0.23199151322691222,0.2980974168104694,2.2059707532770726e-11,0.5930628611480232,0.78947141219124,-0.19640855104321686,-0.22147795832944253,-0.17057071827877845,1.6295557943119345e-11,50.68730054463959,45.290143071012785,5.397157473626805,2.5094253719740216,8.766645204832667,0.0003620561830806167,19.860419695348565,17.751199658325824,2.1092200370227383,0.3323708713364056,4.247734090416264,0.07992344629794822,28.854740353871744,27.573932133330295,1.280808220541443,0.48803746000502063,2.017435372587437,0.00016381050775077287,0.8801396233220361,0.7362369266219014,0.1439026967001346,0.10716359729121241,0.18267477646066882,1.6295557943119345e-11
mixed,medium_two_component,1,fixed_enhancement,60,0.5678270717309981,0.32532972454704967,0.2424973471839486,0.20681673375761203,0.27993470090081873,1.6295557943119345e-11,0.4065090054234196,0.19595376909682266,0.21055523632659692,0.17745116637908723,0.24479199967659904,1.6295557943119345e-11,0.5807006089105526,0.23138594784067645,0.34931466106987613,0.3045865022128289,0.3946635700175042,1.6295557943119345e-11,0.5930628611480232,0.6316072285870369,-0.03854436743901403,-0.062120626786700925,-0.015404431153766688,0.005391096465653226,50.68730054463959,46.42110665972187,4.266193884917716,1.5700804723215096,7.382718510000452,0.0051655337997711815,19.860419695348565,19.181411985033865,0.6790077103146975,-0.8743549034208332,2.540802285792038,0.7627137816181799,28.854740353871744,27.219812911374884,1.634927442496856,0.49688851401488315,2.7727257400335668,0.004187725381237723,0.8801396233220361,0.8007791831846072,0.07936044013742886,0.0696935805789727,0.08982296908554321,1.6295557943119345e-11
mixed,strong_three_component,2,no_enhancement,20,0.33992977157045684,0.35116871486441725,-0.011238943293960432,-0.023337698695383345,0.0006492269470241358,0.023950576782226562,0.2060848613019985,0.2138751356723969,-0.0077902743703984366,-0.017127675896088906,0.0018376648948252084,0.023950576782226562,0.22926042986619297,0.2250352733671055,0.004225156499087476,-0.008873039564162282,0.01815568287177392,0.6742229461669922,0.6901662608831004,0.8262414716863521,-0.1360752108032518,-0.1662593976613119,-0.1109725922513973,1.9073486328125e-06,45.86706002918882,45.786823041220444,0.08023698796836953,-0.18737003073801894,0.4039229790880846,0.892738400944348,18.69556052185068,18.633467890434932,0.06209263141575398,-0.19569935988031337,0.3274111451620598,0.5712430483673425,27.3895373315173,25.17348108522255,2.21605624629475,1.5893395279030498,2.790722610370757,1.9073486328125e-05,0.8290515036002603,0.843296034761108,-0.014244531160848062,-0.02605844050201206,-0.005199789024868961,0.005580902099609375
mixed,strong_three_component,2,fixed_enhancement,20,0.33992977157045684,0.28346252732983857,0.05646724424061823,0.04519029323746881,0.07109615258347352,1.9073486328125e-06,0.2060848613019985,0.16550000884986577,0.040584852452132766,0.031476111439771144,0.05295184495580259,1.9073486328125e-06,0.22926042986619297,0.1822725435718356,0.04698788629435738,0.03455114737458021,0.06244678206223578,1.9073486328125e-06,0.6901662608831004,0.6575134138137663,0.032652847069334176,0.0048265869287488095,0.05758819411941636,0.012079238891601562,45.86706002918882,46.16813539578462,-0.30107536659580597,-1.0004445659347627,0.1441399926620818,0.5929800980174267,18.69556052185068,18.89229533029254,-0.1967348084418595,-0.43475563586364835,-0.002865278432600805,0.10243990540645082,27.3895373315173,27.178285713523046,0.21125161799425243,-0.1740728069685061,0.4891960121031375,0.001209259033203125,0.8290515036002603,0.7917194203936458,0.03733208320661447,0.027229304773610182,0.04317947828149318,0.0007076263427734375
noise,sigma_5,5,no_enhancement,20,0.643525668691449,0.6367030606133117,0.006822608078137335,0.0,0.020172388865300282,0.17971249487899976,0.4805402322619792,0.4738399508436387,0.006700281418340434,0.0,0.01972288162307478,0.17971249487899976,0.6254424542391701,0.6177496545558961,0.007692799683274218,-0.0036464007062264546,0.026724799756049113,0.6547208460185769,0.7075621789470825,0.7072966056724863,0.0002655732745962258,-0.005363984674329502,0.00616070449811818,0.6547208460185769,50.88438199855061,51.00479762210669,-0.12041562355608022,-0.3612468706682407,0.0,0.31731050786291415,16.068268581992513,16.274152534799036,-0.20588395280652075,-0.5552984368525619,0.0,0.17971249487899976,33.19244429043456,34.14791480151739,-0.9554705110828312,-2.3990573370899564,0.0,0.17971249487899976,0.7675479178143925,0.7850089775055185,-0.017461059691125918,-0.04376933853290248,0.0,0.17971249487899976
noise,sigma_5,5,fixed_enhancement,20,0.643525668691449,0.4577850497499057,0.18574061894154342,0.14979294001369317,0.21828368432026868,3.814697265625e-06,0.4805402322619792,0.2995240211322994,0.18101621112967983,0.1439937758125185,0.21356817500542527,3.814697265625e-06,0.6254424542391701,0.5073133311018393,0.11812912313733115,0.046503619673346715,0.19099399496384742,0.0042209625244140625,0.7075621789470825,0.47577024660416545,0.23179193234291717,0.19499698155846776,0.2669500678202045,1.9073486328125e-06,50.88438199855061,65.66506725776617,-14.780685259215556,-28.16756077635994,-2.7260469223645125,0.02772031386394524,16.068268581992513,30.233894315306554,-14.165625733314036,-20.37625476031845,-8.099256816736823,8.20159912109375e-05,33.19244429043456,27.191844507753395,6.000599782681168,4.894969407429284,6.872340358977173,9.5367431640625e-06,0.7675479178143925,0.8258926238839205,-0.058344706069527984,-0.08792999655303918,-0.035805069477795416,1.9073486328125e-06
noise,sigma_15,15,no_enhancement,20,0.4818091211766383,0.3807833777586994,0.10102574341793888,0.07893487821378899,0.12237946014431653,1.9073486328125e-06,0.321168336897398,0.23622523978185983,0.08494309711553819,0.06495753766585387,0.1048765520432901,1.9073486328125e-06,0.4396450975604342,0.25682201527599663,0.18282308228443758,0.11848080707797229,0.2538246391885763,3.814697265625e-06,0.640599402784219,0.7624995151774114,-0.12190011239319239,-0.16476727940883332,-0.08288593684599962,5.7220458984375e-06,51.20028114486901,44.527266265926194,6.673014878942803,1.5922274861049972,12.849828239727872,0.041389404009149304,21.698140429820803,17.82164483340184,3.876495596418959,1.0014555139659547,7.261513384231979,0.1230926513671875,30.335778257595564,24.627183288271844,5.708594969323717,4.593991880631648,6.763978882902389,1.9073486328125e-06,0.6512858239254101,0.3236069305713334,0.32767889335407674,0.26590900866347683,0.38528192353620483,1.9073486328125e-06
noise,sigma_15,15,fixed_enhancement,20,0.4818091211766383,0.4966393417611072,-0.01483022058446901,-0.06390302412931397,0.03016644715110586,0.8694877624511719,0.321168336897398,0.33334008324442027,-0.012171746347022236,-0.05564093639466499,0.026183214834587413,0.8983173370361328,0.4396450975604342,0.6447491263378486,-0.20510402877741435,-0.298116526348517,-0.11007940744193613,0.0023250579833984375,0.640599402784219,0.4402914271441004,0.20030797564011857,0.14964217783866465,0.24968371527374889,3.814697265625e-06,51.20028114486901,84.73533258314524,-33.53505143827623,-44.777576478843336,-22.772886440163848,0.00019643672621231134,21.698140429820803,40.170347981532046,-18.472207551711247,-24.29073551187677,-12.606161586789929,0.00021367000439069728,30.335778257595564,24.64379031691585,5.691987940679717,5.125616985395143,6.2293202153218745,1.9073486328125e-06,0.6512858239254101,0.7878725586205075,-0.1365867346950975,-0.19505241801195972,-0.0810962333739067,0.0001049041748046875
noise,sigma_30,30,no_enhancement,20,0.33228866238257665,0.3021559734971343,0.030132688885442356,0.01773667828965297,0.04282705396897053,0.0002613067626953125,0.19995508784569316,0.17821080464255729,0.021744283203135855,0.012712797003199407,0.03113990171209774,0.0002613067626953125,0.23036123907078737,0.18997816037008197,0.040383078700705406,0.022376177805540694,0.06052382242983081,0.0002613067626953125,0.6513565942688172,0.7447092988307995,-0.09335270456198226,-0.13159689797951035,-0.05814321986335076,0.000133514404296875,45.66674554431823,44.99286598272326,0.6738795615949613,-0.12462497113197983,1.7001003668632215,0.13801073756865956,18.965131746574933,18.363896820171526,0.6012349264034061,0.3769374526021063,0.8018901335617613,0.0006240699797532012,29.050658487682586,18.645813468179092,10.404845019503494,9.409258531039681,11.28853319676804,1.9073486328125e-06,0.6441868620319106,0.12768787753822297,0.5164989844936876,0.4580255020195821,0.5685682402371554,1.9073486328125e-06
noise,sigma_30,30,fixed_enhancement,20,0.33228866238257665,0.37394398883861857,-0.04165532645604188,-0.06248712844470399,-0.02190269466947462,0.0005855560302734375,0.19995508784569316,0.23149260244445222,-0.031537514598759094,-0.048068102130474986,-0.016241265693509033,0.0005855560302734375,0.23036123907078737,0.26990509169916904,-0.03954385262838163,-0.06790327616667609,-0.014224399969867152,0.00485992431640625,0.6513565942688172,0.6520358767821146,-0.0006792825132974189,-0.040348558657284594,0.04015839206671275,0.956329345703125,45.66674554431823,44.943595496076085,0.7231500482421371,-0.1893874950227123,1.9454960815096733,0.17629637444051116,18.965131746574933,17.858160603809807,1.106971142765122,0.740047288602071,1.4966985014997531,2.6702880859375e-05,29.050658487682586,17.04083943538891,12.009819052293675,11.471548916345737,12.5028402318867,1.9073486328125e-06,0.6441868620319106,0.19424925217847325,0.44993760985343734,0.4173595896888093,0.4783690246402048,1.9073486328125e-06
