feature,importance
laplacian_variance,0.18568589222923246
high_frequency_energy,0.14949159080480273
gradient_mean,0.1188098755003485
noise_mad_estimate,0.09993899901963403
edge_density,0.07292157354280641
bright_pixel_ratio,0.06701315854092957
gray_std,0.05312724139305722
dark_pixel_ratio,0.0480957638572367
green_std,0.043578245440460656
entropy,0.042033135063599625
gradient_std,0.03757661750462801
intensity_range_90,0.029887043877428455
gray_mean,0.026253260663505522
green_mean,0.02558760256233005
